ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	TesztVEGE.DEVICE	Udvozlo2.DEVICE	UdvozloPROBA.DEVICE	Block	Procedure[Block]	Running[Block]	TESZT	TESZT.Cycle	TESZT.Sample	Trial	CORRECT	Procedure[Trial]	Running[Trial]	TESZTINGER.ACC	TESZTINGER.CRESP	TESZTINGER.DEVICE	TESZTINGER.DurationError	TESZTINGER.OnsetDelay	TESZTINGER.OnsetTime	TESZTINGER.OnsetToOnsetTime	TESZTINGER.RESP	TESZTINGER.RT	TESZTINGER.RTTime	TesztIngerek	TesztIngerek.Cycle	TesztIngerek.Sample	TipusTESZT	TTarget
2_PALT_S2_tACS	100	2	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-06-26T13:58:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">831980852570</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-06-26T13:58:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2_PALT_S2_tACS-100-2	74.988	1.0.0.23	1	-1240137888	Full	3.0.3.80	3.0.3.80	06-26-2022	2022.06.26 13:58	15:58:11	3.0.3.82	Keyboard	Keyboard	Keyboard	1	BlockProc2	TESZT	1	1	1	1	3	TrialProc2	TesztIngerek	1	3	Keyboard	-999999	21	18856	0	3	5737	24593	6	1	1	ur	Ingerek/teszt/24_squirrel_watering.bmp
2_PALT_S2_tACS	100	2	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-06-26T13:58:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">831980852570</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-06-26T13:58:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2_PALT_S2_tACS-100-2	74.988	1.0.0.23	1	-1240137888	Full	3.0.3.80	3.0.3.80	06-26-2022	2022.06.26 13:58	15:58:11	3.0.3.82	Keyboard	Keyboard	Keyboard	1	BlockProc2	TESZT	1	1	1	2	4	TrialProc2	TesztIngerek	1	4	Keyboard	-999999	20	25122	0	4	5103	30225	3	1	2	rru	Ingerek/teszt/15_turtle_train.bmp
2_PALT_S2_tACS	100	2	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-06-26T13:58:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">831980852570</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-06-26T13:58:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2_PALT_S2_tACS-100-2	74.988	1.0.0.23	1	-1240137888	Full	3.0.3.80	3.0.3.80	06-26-2022	2022.06.26 13:58	15:58:11	3.0.3.82	Keyboard	Keyboard	Keyboard	1	BlockProc2	TESZT	1	1	1	3	4	TrialProc2	TesztIngerek	0	4	Keyboard	-999999	20	30763	0	3	7062	37825	4	1	3	rru	Ingerek/teszt/16_zebra_vase.bmp
2_PALT_S2_tACS	100	2	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-06-26T13:58:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">831980852570</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-06-26T13:58:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2_PALT_S2_tACS-100-2	74.988	1.0.0.23	1	-1240137888	Full	3.0.3.80	3.0.3.80	06-26-2022	2022.06.26 13:58	15:58:11	3.0.3.82	Keyboard	Keyboard	Keyboard	1	BlockProc2	TESZT	1	1	1	4	1	TrialProc2	TesztIngerek	1	1	Keyboard	-999999	20	38363	0	1	1910	40273	8	1	4	uu	Ingerek/teszt/32_deer_balloon.bmp
2_PALT_S2_tACS	100	2	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-06-26T13:58:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">831980852570</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-06-26T13:58:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2_PALT_S2_tACS-100-2	74.988	1.0.0.23	1	-1240137888	Full	3.0.3.80	3.0.3.80	06-26-2022	2022.06.26 13:58	15:58:11	3.0.3.82	Keyboard	Keyboard	Keyboard	1	BlockProc2	TESZT	1	1	1	5	1	TrialProc2	TesztIngerek	1	1	Keyboard	-999999	20	40803	0	1	1846	42649	7	1	5	uu	Ingerek/teszt/31_owl_glass.bmp
2_PALT_S2_tACS	100	2	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-06-26T13:58:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">831980852570</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-06-26T13:58:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2_PALT_S2_tACS-100-2	74.988	1.0.0.23	1	-1240137888	Full	3.0.3.80	3.0.3.80	06-26-2022	2022.06.26 13:58	15:58:11	3.0.3.82	Keyboard	Keyboard	Keyboard	1	BlockProc2	TESZT	1	1	1	6	2	TrialProc2	TesztIngerek	1	2	Keyboard	-999999	20	43177	0	2	4264	47441	5	1	6	ru	Ingerek/teszt/20_skunk_swing.bmp
2_PALT_S2_tACS	100	2	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-06-26T13:58:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">831980852570</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-06-26T13:58:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2_PALT_S2_tACS-100-2	74.988	1.0.0.23	1	-1240137888	Full	3.0.3.80	3.0.3.80	06-26-2022	2022.06.26 13:58	15:58:11	3.0.3.82	Keyboard	Keyboard	Keyboard	1	BlockProc2	TESZT	1	1	1	7	5	TrialProc2	TesztIngerek	1	5	Keyboard	-999999	20	47977	0	5	4064	52041	1	1	7	rre	Ingerek/teszt/7_kanga_dress.bmp
2_PALT_S2_tACS	100	2	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-06-26T13:58:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">831980852570</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-06-26T13:58:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2_PALT_S2_tACS-100-2	74.988	1.0.0.23	1	-1240137888	Full	3.0.3.80	3.0.3.80	06-26-2022	2022.06.26 13:58	15:58:11	3.0.3.82	Keyboard	Keyboard	Keyboard	1	BlockProc2	TESZT	1	1	1	8	5	TrialProc2	TesztIngerek	1	5	Keyboard	-999999	20	52577	0	5	10600	63177	2	1	8	rre	Ingerek/teszt/8_goat_fork.bmp
2_PALT_S2_tACS	104	2	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-07-29T10:11:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">29208416762168</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-07-29T10:11:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2_PALT_S2_tACS-104-1	74.99	1.0.0.23	1	-1653152090	Full	3.0.3.80	3.0.3.80	07-29-2022	2022.07.29 10:11	12:11:10	3.0.3.82	Keyboard	Keyboard	Keyboard	1	BlockProc2	TESZT	1	1	1	1	2	TrialProc2	TesztIngerek	1	2	Keyboard	-999999	20	14516	0	2	3383	17899	5	1	1	ru	Ingerek/teszt/20_skunk_swing.bmp
2_PALT_S2_tACS	104	2	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-07-29T10:11:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">29208416762168</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-07-29T10:11:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2_PALT_S2_tACS-104-1	74.99	1.0.0.23	1	-1653152090	Full	3.0.3.80	3.0.3.80	07-29-2022	2022.07.29 10:11	12:11:10	3.0.3.82	Keyboard	Keyboard	Keyboard	1	BlockProc2	TESZT	1	1	1	2	1	TrialProc2	TesztIngerek	1	1	Keyboard	-999999	20	18436	0	1	2559	20995	8	1	2	uu	Ingerek/teszt/32_deer_balloon.bmp
